1000 339
819 999 5280
577 315 1093
12 992 1462
996 854 5223
151 47 920
644 662 7241
702 114 3691
238 179 2246
352 269 2489
754 286 1711
289 523 6386
339 121 8470
410 418 5330
808 104 7265
189 356 1953
238 159 8473
179 679 3368
76 204 3909
432 411 1866
188 207 4580
561 998 8525
999 111 623
289 221 1649
802 675 8240
595 449 7531
424 628 7051
766 348 864
575 140 1949
738 485 5774
937 890 7337
44 290 6970
667 814 7662
344 982 1726
992 467 1518
357 540 700
439 98 6376
867 986 4269
800 629 4142
808 397 2570
114 168 6407
759 320 5035
629 281 368
770 321 5329
999 190 4796
516 661 4232
69 664 1532
327 649 4292
286 45 7891
930 960 762
759 332 5960
836 256 1857
237 199 3389
485 388 2037
13 324 8395
235 112 8967
667 501 7409
121 245 4609
956 849 6252
310 631 2795
151 477 3743
175 483 9530
764 340 932
197 381 818
356 351 2542
438 128 4581
867 318 5743
595 274 3540
182 806 8915
501 782 9365
990 508 2885
324 494 8461
759 660 8684
557 39 4421
207 797 9358
780 382 8685
549 886 594
98 155 4725
204 693 4739
833 835 6698
217 103 3472
98 489 2133
551 655 4067
499 425 1049
959 430 3952
430 739 6641
516 476 5095
237 496 3482
675 11 874
661 973 1417
45 954 1469
75 589 6034
483 705 1019
579 3 6290
286 129 2651
345 212 9389
425 690 6969
381 462 8039
479 398 6249
511 97 368
756 574 2203
190 474 3389
918 338 4813
853 682 3780
397 861 1123
348 223 2268
533 787 1649
959 2 7357
614 837 5410
151 486 4776
869 473 2985
754 130 6885
376 96 4741
970 180 7340
365 659 6714
42 799 7541
799 363 7418
911 857 2565
573 704 502
551 450 4267
182 401 7892
363 275 568
869 947 1186
182 725 2207
272 555 4274
551 150 7358
108 774 3850
787 653 3563
494 933 5517
655 689 9579
322 848 1312
996 228 7497
180 565 752
970 974 959
455 466 2757
574 377 9229
245 407 8111
575 429 188
511 953 424
595 145 8595
44 213 2080
142 58 8307
377 622 194
104 454 4519
657 242 5475
121 672 4291
430 333 3920
108 176 5516
890 846 8201
429 117 2275
659 753 8051
745 921 4309
2 527 7651
188 287 1810
238 541 9593
238 314 9123
655 226 2708
494 817 3954
411 222 5650
766 510 7667
324 149 1625
269 446 4263
269 90 6449
846 585 2918
249 178 6251
759 409 8309
589 968 3047
659 553 3167
314 53 3464
290 36 1475
365 316 8083
98 196 1081
226 905 4378
237 917 2748
188 9 9857
849 972 3855
351 674 8723
2 163 3376
660 475 7894
289 860 6171
565 413 7837
228 472 7502
401 471 3448
854 617 4284
18 48 1995
271 442 6320
251 634 6355
849 57 3571
972 465 2433
836 779 3463
327 349 3084
672 390 122
117 115 1786
58 633 3329
555 863 6142
921 300 2879
917 737 6682
614 443 7564
972 201 1047
489 945 3393
289 216 7606
476 480 9470
865 118 7111
787 71 7396
201 124 9358
725 399 8183
583 563 878
450 834 6950
335 639 4505
333 599 1398
450 17 2481
145 626 975
973 229 4656
103 125 5643
57 781 385
589 54 5095
163 279 1450
256 994 4654
357 548 3955
352 426 4454
617 282 5610
679 50 8456
151 166 9996
644 105 1854
42 169 2035
269 581 5145
705 30 3878
269 795 6381
282 59 7361
682 596 6939
511 831 3762
564 268 8439
911 790 9300
181 952 123
595 847 1492
446 957 5622
27 312 6268
124 444 9939
133 63 5834
496 936 763
229 793 7746
140 785 1439
155 821 4730
690 366 9212
702 828 6194
886 317 2539
432 328 886
222 547 7869
447 7 4068
744 267 6143
335 676 5271
169 684 9011
626 580 2192
690 909 505
268 699 3445
204 603 4950
957 187 9879
111 294 1869
960 592 559
745 624 9402
449 950 3582
793 84 9410
18 361 2916
499 164 7356
690 826 1621
508 263 8893
159 70 1613
212 394 1132
316 122 3203
657 412 886
98 497 9256
775 543 6893
764 66 4926
412 882 93
462 396 6193
994 391 8587
737 852 1433
782 478 594
275 522 5274
527 671 7682
36 21 7799
163 224 6488
846 126 4476
869 916 2271
861 52 5607
738 62 7029
426 329 1694
251 688 3995
474 157 2682
133 172 8455
426 637 9933
629 434 5000
582 464 7741
865 73 8417
2 91 9894
909 874 2611
196 389 2672
799 717 9806
575 803 3069
327 194 7530
756 211 1584
552 23 3537
196 608 4831
125 741 2601
64 556 4322
793 788 9089
169 385 800
66 107 8324
45 843 6033
916 265 7906
411 811 9190
697 536 9969
50 307 5966
721 894 1713
107 700 8203
543 951 7709
217 276 6503
128 889 9415
318 195 7831
548 651 1548
846 463 9422
182 895 9111
466 384 1077
2 915 5113
511 572 6877
648 144 9387
242 908 6239
111 46 4280
4 598 1833
649 137 1238
499 844 4289
457 718 9821
811 403 2894
608 436 8476
731 537 3954
660 870 9228
396 120 7011
182 706 6299
181 827 4827
307 877 1548
973 288 7134
57 285 4122
685 250 2992
909 6 5575
63 448 3448
673 896 1211
706 611 8461
574 311 4878
955 15 2970
6 355 2078
527 910 6080
937 656 6649
860 77 2347
431 484 3881
431 856 710
449 416 5228
174 884 9065
843 257 7566
388 379 453
918 928 3232
561 35 2656
187 233 7987
848 708 1825
3 983 8822
653 383 2569
434 244 1716
395 110 4908
511 526 4442
648 165 7663
790 360 7130
50 259 6453
355 765 2567
950 370 4410
384 941 7572
806 778 2328
328 34 5114
510 567 1598
611 740 2452
457 562 2317
30 147 8216
432 161 8524
181 716 6237
288 809 999
676 67 9740
968 987 1703
430 184 9736
270 261 1930
688 498 23
268 153 5138
486 273 3906
664 441 4749
968 566 5152
945 796 4823
436 545 6120
169 760 5228
398 619 4728
178 742 6969
290 558 6237
546 971 4345
424 698 9331
174 433 5548
35 923 6905
136 420 4072
524 542 169
104 715 872
971 81 9378
946 374 5796
565 94 4670
968 838 8484
403 535 461
124 832 1475
3 710 6517
558 822 2503
410 691 5466
580 591 5080
254 940 5597
175 752 6567
144 297 4456
136 283 5779
117 769 6199
572 887 1401
769 794 8623
175 191 6456
322 858 519
524 901 433
282 975 1353
229 978 2519
409 198 9406
187 670 621
433 677 4572
184 134 6020
448 784 2679
267 875 9021
130 86 9575
987 965 4462
195 560 7801
245 840 7700
548 167 5762
128 825 2419
42 942 5446
339 284 3611
344 531 3813
361 350 4667
821 927 205
76 440 4442
564 880 3691
316 519 7648
179 74 5750
759 260 9855
649 37 4170
412 68 7449
142 709 6529
951 234 4745
988 772 5655
756 400 4922
197 220 2717
804 607 4251
66 154 7364
744 757 6100
659 601 6908
987 502 5048
737 958 3705
715 495 3319
310 681 5714
201 876 7481
959 491 192
259 728 4558
909 31 2781
164 319 5363
76 452 9169
717 239 5887
145 550 1520
319 692 4766
523 529 1758
910 963 9155
2 976 4109
134 881 9263
473 701 3249
970 132 6322
53 568 8458
555 620 7902
631 635 5083
59 820 8074
958 293 8112
765 61 2650
501 593 6423
412 183 5517
860 243 1377
58 358 5881
738 949 203
53 72 8150
164 678 5589
699 712 4828
718 85 2698
937 80 6856
869 997 1303
959 253 8860
953 209 7215
329 934 6952
628 912 3072
996 509 8958
474 173 841
94 668 140
250 506 3811
882 888 8054
9 914 7407
161 943 4676
47 20 6319
814 569 4536
414 334 3355
161 517 9227
635 378 2499
150 291 99
770 935 1371
983 408 7743
297 313 3003
274 230 288
269 851 229
545 538 8763
496 33 6447
998 977 4404
856 734 9370
282 613 9552
115 924 7637
126 341 7408
700 456 8182
42 459 8352
315 278 4720
268 185 9449
283 515 8204
242 364 531
459 805 6594
715 146 7752
77 458 7598
835 380 7212
840 642 6033
11 961 4249
744 83 7045
85 296 3794
396 714 590
378 461 2024
63 733 7835
828 369 2155
273 948 7881
19 904 4995
952 215 5145
764 514 3641
506 534 9048
935 218 4911
562 641 609
653 864 688
369 944 3737
955 812 8394
843 303 1439
545 460 8166
233 505 9741
662 663 3503
626 618 3267
668 306 2833
349 862 3611
572 301 3582
794 842 6056
454 371 6844
511 14 4965
498 200 8099
840 113 3876
48 171 8565
345 652 2778
447 386 1096
552 262 1850
634 636 2597
175 777 5801
63 520 1868
350 605 8108
303 346 6566
924 427 8879
927 156 6825
682 82 3721
37 786 2741
270 0 1774
120 308 610
510 78 2329
806 28 9612
688 392 2485
308 931 9323
633 735 6320
828 981 2275
917 60 721
317 893 7539
431 654 5194
968 600 3250
279 402 6956
322 336 1709
296 225 93
376 798 5713
832 186 1640
179 373 3866
115 421 5497
19 422 5426
289 331 6888
496 829 5018
509 246 9370
759 141 5326
45 736 4137
463 362 1622
311 323 9673
854 680 9753
36 387 1296
46 43 3655
37 898 8614
691 309 5958
864 902 5690
480 528 6925
309 559 2356
992 299 8222
458 406 3450
676 131 8801
196 482 3234
230 79 1965
465 969 9695
564 643 3052
506 435 4809
225 210 2346
208 810 6969
585 872 6549
835 666 5367
626 507 8539
685 609 5033
35 899 1297
262 845 517
542 530 9335
626 762 2756
263 292 5840
893 571 8614
201 885 9711
547 504 1391
552 768 378
394 859 1917
249 26 1359
52 513 5074
675 658 820
315 202 6765
416 816 4200
622 10 7525
833 792 1889
274 801 1366
702 625 4710
392 22 5711
384 627 2814
75 743 8353
167 305 5335
471 732 1637
71 102 4998
489 93 4786
898 751 8791
370 32 4263
482 518 6651
464 236 1671
790 604 9175
658 665 9051
265 962 6291
996 372 8639
955 570 7241
558 749 7901
431 326 7728
70 964 8930
684 903 8700
694 850 5125
962 761 472
305 325 52
322 445 2472
180 925 5223
849 991 1692
183 919 2677
336 354 5144
3 468 4634
285 302 8494
930 41 8786
52 451 324
326 879 2141
310 280 9290
973 512 7464
530 866 1636
327 405 8037
151 824 1553
740 907 7720
956 29 5106
969 932 9498
406 488 8891
800 773 4016
145 16 252
596 51 1819
435 758 4624
149 891 7184
301 922 3641
688 423 9349
459 487 6745
10 503 7271
340 65 8455
84 584 6839
808 855 9748
833 984 4030
667 612 204
827 632 1650
421 687 2053
561 807 9479
541 897 3369
772 588 106
452 277 4605
524 586 9290
799 669 2964
480 56 7528
709 158 8153
867 375 4440
288 143 105
410 337 2965
360 116 8541
700 532 1057
317 119 6874
50 419 4190
238 966 7427
916 492 286
840 602 7669
303 258 8787
41 647 4031
475 763 519
164 109 9418
556 342 3054
510 594 9195
915 695 529
483 347 7827
365 830 5503
104 152 6839
880 231 7815
701 727 1969
307 393 1694
126 521 8375
222 939 189
483 193 2370
739 713 8317
533 95 9755
66 87 9746
697 38 9584
861 241 3093
472 789 2995
676 993 4429
810 469 3466
568 55 3540
486 247 9194
613 597 6720
550 240 9709
355 711 6908
382 746 6743
672 304 4127
685 404 8775
446 417 1864
753 791 3981
454 696 4052
18 683 4407
422 298 2341
840 776 7117
338 815 4574
765 980 3053
82 8 3590
50 578 9467
336 646 6112
641 89 5073
628 453 7259
528 1 2819
517 127 7279
713 252 6531
56 839 2826
193 232 7102
101 623 4074
894 264 6726
927 170 1612
352 227 9535
742 621 776
988 205 4299
761 359 3889
495 162 1025
218 106 9292
195 470 9370
603 823 615
872 985 638
851 615 2838
677 729 3386
140 493 7678
38 878 5244
978 747 8346
142 437 869
237 525 2163
289 25 2495
130 49 2046
237 177 3654
27 88 3261
323 428 2285
217 883 7126
665 813 1806
207 640 2898
184 638 1985
772 726 5963
918 135 7750
786 920 8561
15 929 8095
114 630 1314
284 206 3215
164 900 2070
222 841 9117
132 219 5205
906 730 6400
537 100 3799
525 719 7370
982 748 3041
950 160 1367
747 616 4322
751 148 1673
431 938 1425
902 576 6629
391 123 5119
261 330 9594
756 724 6390
343 544 2611
602 610 1221
102 203 5277
853 415 7200
533 722 1243
71 720 6711
617 686 4625
385 926 490
345 989 2041
3 368 2046
859 892 1448
7 248 2191
794 606 6158
757 138 5502
211 99 6444
336 995 1263
498 755 3053
814 500 3484
177 590 5261
725 295 6356
638 353 8032
365 40 1466
698 255 5521
331 266 4999
142 490 6766
349 645 330
17 783 3217
339 703 8992
645 818 6181
172 139 1476
162 650 2736
245 214 4382
741
42
227
138
658
825
895
637
529
178
987
951
132
156
764
267
853
504
154
696
669
182
678
341
893
958
241
186
461
117
592
426
422
845
814
489
743
944
520
708
108
646
345
102
566
277
635
940
181
517
297
69
328
668
841
417
728
894
212
830
343
55
692
729
527
911
320
982
947
201
633
990
68
15
613
492
882
802
900
950
216
485
603
295
291
558
134
206
359
688
616
594
58
266
157
53
346
503
415
316
917
850
899
526
579
694
719
620
462
786
310
129
909
773
860
37
230
161
54
567
959
781
535
832
44
699
480
702
142
842
533
122
856
460
437
747
707
580
804
286
979
386
420
665
598
17
405
204
784
165
562
844
782
351
475
83
66
99
268
522
38
523
505
571
552
936
939
398
65
22
199
467
839
289
810
384
976
391
880
166
4
896
873
941
233
547
466
43
848
197
788
211
518
162
148
430
769
680
382
891
698
654
955
174
50
801
742
92
11
693
81
137
496
67
231
704
913
602
91
689
681
725
536
259
438
827
191
639
73
121
51
935
918
607
618
183
977
29
238
285
224
262
416
330
167
209
761
969
255
257
625
147
751
714
196
215
2
418
785
988
555
477
662
401
433
684
424
84
390
106
72
984
371
470
202
435
6
126
5
321
152
586
628
448
494
577
732
697
101
109
774
938
632
837
816
366
425
90
264
641
599
30
10
237
444
88
904
357
915
362
228
318
700
495
356
104
755
888
180
493
757
486
506
831
254
591
7
648
482
352
235
930
823
123
173
358
670
574
889
